,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hovd,48.0056,91.6419,34.92,43,78,1.3,MN,2021-10-22 21:50:24
1,Namibe,-15.1961,12.1522,65.01,70,4,11.48,AO,2021-10-22 21:50:25
2,Provideniya,64.3833,-173.3,26.76,67,100,9.04,RU,2021-10-22 21:50:25
3,Ushuaia,-54.8,-68.3,51.46,43,40,13.8,AR,2021-10-22 21:50:25
4,Albany,42.6001,-73.9662,56.26,65,100,7.11,US,2021-10-22 21:48:10
5,Vila Velha,-20.3297,-40.2925,73.35,78,75,5.75,BR,2021-10-22 21:50:26
6,Khatanga,71.9667,102.5,-4.14,100,99,4.29,RU,2021-10-22 21:50:26
7,Hilo,19.7297,-155.09,85.28,65,1,5.75,US,2021-10-22 21:49:28
8,Margate,51.3813,1.3862,52.7,77,77,1.99,GB,2021-10-22 21:50:26
9,Kaitangata,-46.2817,169.8464,58.24,65,100,2.77,NZ,2021-10-22 21:50:27
10,Avarua,-21.2078,-159.775,73.45,60,90,4.61,CK,2021-10-22 21:50:27
11,Mataura,-46.1927,168.8643,62.53,56,100,1.14,NZ,2021-10-22 21:50:27
12,Port Shepstone,-30.7414,30.455,66.56,83,4,4.81,ZA,2021-10-22 21:47:14
13,Aklavik,68.2191,-135.0107,36.32,85,100,18.01,CA,2021-10-22 21:50:28
14,Butaritari,3.0707,172.7902,82.54,78,94,17.4,KI,2021-10-22 21:50:28
15,Hofn,64.2539,-15.2082,45.27,97,100,13.06,IS,2021-10-22 21:50:28
16,Muros,42.7762,-9.0603,54.09,84,0,10.27,ES,2021-10-22 21:50:29
17,Luderitz,-26.6481,15.1594,56.03,89,0,7.49,NA,2021-10-22 21:50:29
18,Cherskiy,68.75,161.3,-4.04,100,100,2.71,RU,2021-10-22 21:50:29
19,Alanya,36.5438,31.9998,68.68,40,0,4.09,TR,2021-10-22 21:50:30
20,Atar,20.5169,-13.0499,79.45,19,27,6.64,MR,2021-10-22 21:50:30
21,Kenai,60.5544,-151.2583,39.15,87,90,12.66,US,2021-10-22 21:50:30
22,Hervey Bay,-25.2986,152.8535,80.04,83,23,15.03,AU,2021-10-22 21:50:31
23,Teya,60.3778,92.6267,35.19,79,100,14.27,RU,2021-10-22 21:50:31
24,Kirakira,-10.4544,161.9205,83.86,63,24,9.01,SB,2021-10-22 21:50:31
25,Katsuura,35.1333,140.3,55.51,77,19,13.33,JP,2021-10-22 21:50:31
26,Nikolskoye,59.7035,30.7861,45.88,70,100,14.85,RU,2021-10-22 21:50:32
27,Cape Town,-33.9258,18.4232,59.34,86,75,5.01,ZA,2021-10-22 21:50:32
28,Serebryansk,49.6925,83.2892,33.35,85,54,1.59,KZ,2021-10-22 21:50:32
29,Jamestown,42.097,-79.2353,50.09,76,75,5.75,US,2021-10-22 21:47:12
30,Port Alfred,-33.5906,26.891,62.37,85,81,9.17,ZA,2021-10-22 21:50:33
31,Stende,57.15,22.5333,47.14,76,70,7.05,LV,2021-10-22 21:50:33
32,Thompson,55.7435,-97.8558,35.76,75,90,6.91,CA,2021-10-22 21:49:20
33,Grindavik,63.8424,-22.4338,46.87,93,90,27.63,IS,2021-10-22 21:50:33
34,Hermanus,-34.4187,19.2345,59.81,89,100,28.25,ZA,2021-10-22 21:50:34
35,Hithadhoo,-0.6,73.0833,81.3,74,39,9.24,MV,2021-10-22 21:50:34
36,Cabo San Lucas,22.8909,-109.9124,89.62,67,0,9.37,MX,2021-10-22 21:50:32
37,Rikitea,-23.1203,-134.9692,74.25,82,100,21.52,PF,2021-10-22 21:47:05
38,Ayorou,14.7308,0.9174,95.58,25,88,1.36,NE,2021-10-22 21:50:34
39,Stephenville,32.2207,-98.2023,84.54,49,1,5.75,US,2021-10-22 21:50:35
40,Hobart,-42.8794,147.3294,54.01,93,75,14.97,AU,2021-10-22 21:50:35
41,Raichur,16.2,77.3667,71.62,64,64,6.82,IN,2021-10-22 21:50:36
42,Bambous Virieux,-20.3428,57.7575,73.22,100,75,3.44,MU,2021-10-22 21:50:36
43,Mandalgovi,45.7625,106.2708,32.34,36,58,4.83,MN,2021-10-22 21:50:36
44,Zvishavane,-20.3267,30.0665,75.97,38,34,3.96,ZW,2021-10-22 21:50:36
45,Alta Floresta,-9.8756,-56.0861,76.21,83,100,6.04,BR,2021-10-22 21:50:37
46,Vila Franca Do Campo,37.7167,-25.4333,70.21,77,87,5.17,PT,2021-10-22 21:50:37
47,Yar-Sale,66.8333,70.8333,27.91,93,99,7.87,RU,2021-10-22 21:50:37
48,Cravo Norte,6.3017,-70.2041,83.05,67,99,5.82,CO,2021-10-22 21:50:38
49,Kavieng,-2.5744,150.7967,82.54,75,80,10.87,PG,2021-10-22 21:50:38
50,Jumla,29.2747,82.1838,48.13,89,8,3.85,NP,2021-10-22 21:50:38
51,Georgetown,5.4112,100.3354,78.75,90,40,0.0,MY,2021-10-22 21:50:39
52,Qaqortoq,60.7167,-46.0333,37.38,97,100,5.75,GL,2021-10-22 21:50:39
53,Nanortalik,60.1432,-45.2371,38.91,96,100,8.79,GL,2021-10-22 21:50:39
54,Roros,62.5747,11.3842,31.84,93,90,3.44,NO,2021-10-22 21:50:40
55,Hamilton,39.1834,-84.5333,53.89,94,90,6.91,US,2021-10-22 21:48:06
56,Maraa,-1.8333,-65.3667,78.53,83,73,3.13,BR,2021-10-22 21:50:40
57,Carira,-10.3608,-37.7011,73.17,86,64,9.53,BR,2021-10-22 21:50:40
58,Cidreira,-30.1811,-50.2056,65.41,85,0,6.78,BR,2021-10-22 21:50:41
59,Paamiut,61.994,-49.6678,35.38,70,36,15.5,GL,2021-10-22 21:50:41
60,Itarema,-2.9248,-39.9167,80.96,78,100,13.98,BR,2021-10-22 21:50:41
61,Litovko,49.2361,135.1742,31.39,81,10,2.53,RU,2021-10-22 21:50:42
62,Punta Arenas,-53.15,-70.9167,42.91,81,75,27.63,CL,2021-10-22 21:50:42
63,Bluff,-46.6,168.3333,54.93,65,100,0.92,NZ,2021-10-22 21:50:42
64,Victoria,22.2855,114.1577,67.24,80,98,7.0,HK,2021-10-22 21:46:56
65,Bredasdorp,-34.5322,20.0403,61.92,55,99,10.36,ZA,2021-10-22 21:50:43
66,East London,-33.0153,27.9116,63.12,84,29,9.71,ZA,2021-10-22 21:50:43
67,Ghanzi,-21.5667,21.7833,74.25,21,9,6.73,BW,2021-10-22 21:50:43
68,Port Elizabeth,-33.918,25.5701,61.11,86,94,3.4,ZA,2021-10-22 21:50:43
69,San Carlos,9.6612,-68.5827,79.77,69,90,3.13,VE,2021-10-22 21:50:44
70,Qaanaaq,77.484,-69.3632,-1.16,65,0,8.7,GL,2021-10-22 21:50:44
71,Faya,18.3851,42.4509,61.32,34,24,6.22,SA,2021-10-22 21:50:44
72,Fort Saint James,54.4333,-124.25,54.75,42,49,6.24,CA,2021-10-22 21:50:45
73,Chokurdakh,70.6333,147.9167,-13.86,99,99,2.71,RU,2021-10-22 21:50:45
74,Cururupu,-1.8283,-44.8683,78.06,84,98,3.83,BR,2021-10-22 21:50:45
75,Jiuquan,39.7432,98.5174,39.4,39,12,2.33,CN,2021-10-22 21:50:46
76,Carballo,43.213,-8.691,53.87,88,0,3.71,ES,2021-10-22 21:50:46
77,Acarau,-2.8856,-40.12,81.14,79,100,14.92,BR,2021-10-22 21:47:07
78,Merauke,-8.4667,140.3333,79.97,78,97,10.63,ID,2021-10-22 21:50:46
79,Touros,-5.1989,-35.4608,81.5,82,75,11.23,BR,2021-10-22 21:50:47
80,Severo-Kurilsk,50.6789,156.125,38.5,73,96,9.37,RU,2021-10-22 21:50:47
81,Sola,-13.8833,167.55,84.87,74,40,0.0,VU,2021-10-22 21:50:47
82,Laguna,38.421,-121.4238,70.11,62,20,5.99,US,2021-10-22 21:50:48
83,Trairi,-3.2778,-39.2689,80.22,77,58,9.8,BR,2021-10-22 21:50:21
84,Najran,17.4924,44.1277,70.45,35,6,1.39,SA,2021-10-22 21:50:48
85,Muyezerskiy,63.9333,31.65,31.28,94,100,15.88,RU,2021-10-22 21:50:48
86,Tuktoyaktuk,69.4541,-133.0374,30.2,100,90,10.36,CA,2021-10-22 21:50:49
87,Castro,-24.7911,-50.0119,61.0,71,1,2.89,BR,2021-10-22 21:50:49
88,Kodiak,57.79,-152.4072,44.11,65,75,14.97,US,2021-10-22 21:50:49
89,Petrolina,-9.3986,-40.5008,82.45,69,0,10.36,BR,2021-10-22 21:50:50
90,Longyearbyen,78.2186,15.6401,17.44,86,75,2.3,SJ,2021-10-22 21:50:50
91,Laredo,27.5064,-99.5075,91.69,46,40,3.44,US,2021-10-22 21:46:33
92,Hobyo,5.3505,48.5268,78.73,83,9,11.18,SO,2021-10-22 21:50:50
93,Tagusao,9.1924,117.8141,80.2,83,100,3.83,PH,2021-10-22 21:50:51
94,Fort Nelson,58.8053,-122.7002,42.39,75,75,2.3,CA,2021-10-22 21:50:51
95,Atuona,-9.8,-139.0333,78.01,77,32,18.34,PF,2021-10-22 21:50:51
96,Souillac,-20.5167,57.5167,73.36,100,75,3.44,MU,2021-10-22 21:50:52
97,Palmer,42.1584,-72.3287,66.13,60,75,1.01,US,2021-10-22 21:49:45
98,Torbay,47.6666,-52.7314,52.68,81,75,8.05,CA,2021-10-22 21:50:52
99,New Norfolk,-42.7826,147.0587,53.65,87,100,1.03,AU,2021-10-22 21:50:52
100,Chernyakhovsk,54.6335,21.8156,42.91,79,100,14.07,RU,2021-10-22 21:50:53
101,Odweyne,9.4092,45.064,72.72,37,2,11.79,SO,2021-10-22 21:50:53
102,Kamenka,51.3223,42.7678,48.63,78,9,8.3,RU,2021-10-22 21:50:53
103,Nuuk,64.1835,-51.7216,29.88,58,0,28.99,GL,2021-10-22 21:50:53
104,Vaini,-21.2,-175.2,77.16,78,75,10.36,TO,2021-10-22 21:50:54
105,Pevek,69.7008,170.3133,12.52,91,100,7.18,RU,2021-10-22 21:50:54
106,Barrow,71.2906,-156.7887,30.22,86,90,4.61,US,2021-10-22 21:50:03
107,Lebu,-37.6167,-73.65,51.98,70,2,19.77,CL,2021-10-22 21:50:55
108,Ordzhonikidze,52.4411,61.7408,46.04,61,75,23.06,KZ,2021-10-22 21:50:55
109,Artyom,40.4723,50.333,60.94,71,95,17.02,AZ,2021-10-22 21:50:55
110,Saint Anthony,45.0205,-93.218,50.95,51,1,1.01,US,2021-10-22 21:50:56
111,Gamba,-2.65,10.0,76.57,86,99,7.23,GA,2021-10-22 21:50:56
112,Bengkulu,-3.8004,102.2655,74.93,88,100,3.02,ID,2021-10-22 21:50:56
113,Chuy,-33.6971,-53.4616,58.89,75,22,6.87,UY,2021-10-22 21:50:57
114,Luganville,-15.5333,167.1667,82.17,77,44,3.38,VU,2021-10-22 21:50:57
115,Aloleng,16.1307,119.7824,78.49,82,66,5.48,PH,2021-10-22 21:50:57
116,Yellowknife,62.456,-114.3525,45.41,68,40,8.99,CA,2021-10-22 21:48:44
117,Kieta,-6.2167,155.6333,82.06,75,44,3.6,PG,2021-10-22 21:50:58
118,Turbat,26.0023,63.044,74.03,17,0,11.7,PK,2021-10-22 21:50:58
119,Tandil,-37.3217,-59.1332,58.3,82,100,3.0,AR,2021-10-22 21:49:58
120,Ponta Do Sol,32.6667,-17.1,70.0,66,23,8.75,PT,2021-10-22 21:50:58
121,Mar Del Plata,-38.0023,-57.5575,57.09,85,90,3.0,AR,2021-10-22 21:50:59
122,Susanville,40.4163,-120.653,53.82,57,75,10.0,US,2021-10-22 21:50:59
123,Dinahican,14.7167,121.7167,78.98,84,100,16.84,PH,2021-10-22 21:50:59
124,Mazyr,52.0495,29.2456,44.42,58,20,12.88,BY,2021-10-22 21:50:59
125,Tiksi,71.6872,128.8694,3.24,99,100,2.55,RU,2021-10-22 21:51:00
126,Libreville,0.3925,9.4537,78.82,89,20,8.05,GA,2021-10-22 21:51:00
127,Fukue,32.6881,128.8419,63.57,68,74,21.72,JP,2021-10-22 21:51:01
128,Constitucion,-35.3333,-72.4167,54.36,71,0,20.0,CL,2021-10-22 21:51:01
129,Skjervoy,70.0311,20.9714,34.34,56,99,4.88,NO,2021-10-22 21:51:01
130,Zhengjiatun,43.5064,123.5064,37.63,50,0,5.3,CN,2021-10-22 21:51:02
131,Port Blair,11.6667,92.75,79.2,85,100,3.74,IN,2021-10-22 21:51:02
132,Upernavik,72.7868,-56.1549,18.0,91,100,8.21,GL,2021-10-22 21:51:03
133,Marawi,7.9986,124.2928,67.64,93,100,2.04,PH,2021-10-22 21:51:03
134,Zverinogolovskoye,54.4586,64.8542,45.39,71,100,18.61,RU,2021-10-22 21:51:03
135,Les Cayes,18.2,-73.75,82.72,75,40,8.93,HT,2021-10-22 21:51:04
136,Vao,-22.6667,167.4833,72.68,79,1,2.3,NC,2021-10-22 21:51:04
137,Asau,46.4333,26.4,55.76,68,100,5.03,RO,2021-10-22 21:51:04
138,Quatre Cocos,-20.2078,57.7625,73.09,82,84,10.85,MU,2021-10-22 21:51:04
139,Saskylakh,71.9167,114.0833,-6.27,100,95,2.77,RU,2021-10-22 21:51:05
140,Palmas De Monte Alto,-14.2672,-43.1619,82.02,56,100,3.89,BR,2021-10-22 21:51:05
141,Dikson,73.5069,80.5464,14.47,85,100,15.26,RU,2021-10-22 21:51:05
142,Suez,29.9737,32.5263,68.0,70,0,9.15,EG,2021-10-22 21:47:38
143,Kroya,-7.6331,109.2461,76.86,89,96,5.61,ID,2021-10-22 21:51:06
144,Kalmunai,7.4167,81.8167,78.55,84,84,6.87,LK,2021-10-22 21:51:06
145,Isangel,-19.55,169.2667,80.71,78,20,0.0,VU,2021-10-22 21:51:06
146,Mahibadhoo,3.7833,72.9667,81.82,71,65,12.15,MV,2021-10-22 21:51:07
147,Manavalakurichi,8.1333,77.3,80.69,85,97,3.22,IN,2021-10-22 21:51:07
148,Namatanai,-3.6667,152.4333,81.54,72,92,8.93,PG,2021-10-22 21:51:07
149,Rambha,19.5167,85.1,74.25,66,23,4.59,IN,2021-10-22 21:51:08
150,Sitka,57.0531,-135.33,51.69,76,90,19.57,US,2021-10-22 21:51:08
151,Airai,-8.9266,125.4092,64.49,67,100,1.03,TL,2021-10-22 21:51:08
152,Khorixas,-20.3667,14.9667,59.27,39,0,6.96,NA,2021-10-22 21:51:09
153,Conceicao Da Barra,-18.5933,-39.7322,72.7,81,99,5.93,BR,2021-10-22 21:51:09
154,Christchurch,-43.5333,172.6333,59.32,65,75,3.0,NZ,2021-10-22 21:46:14
155,Okha,53.5739,142.9478,36.09,83,100,15.77,RU,2021-10-22 21:51:09
156,Husavik,66.0449,-17.3389,31.91,94,100,6.98,IS,2021-10-22 21:51:10
157,Sucua,-2.4667,-78.1667,74.14,83,75,6.91,EC,2021-10-22 21:51:10
158,Novyy Urengoy,66.0833,76.6333,28.22,96,91,5.08,RU,2021-10-22 21:51:10
159,Padang,-0.9492,100.3543,77.38,87,99,3.94,ID,2021-10-22 21:51:11
160,North Bend,43.4065,-124.2243,60.93,91,75,12.66,US,2021-10-22 21:51:11
161,Busselton,-33.65,115.3333,45.09,82,3,6.49,AU,2021-10-22 21:51:11
162,Bam,29.106,58.357,61.84,28,3,8.84,IR,2021-10-22 21:47:43
163,Faanui,-16.4833,-151.75,78.28,79,39,10.02,PF,2021-10-22 21:51:12
164,Rawlins,41.7911,-107.2387,63.03,24,1,18.41,US,2021-10-22 21:51:12
165,Aksu,41.1231,80.2644,52.57,48,100,6.69,CN,2021-10-22 21:51:12
166,La Ronge,55.1001,-105.2842,35.85,64,20,10.36,CA,2021-10-22 21:51:13
167,Puerto Ayora,-0.7393,-90.3518,75.16,80,69,9.73,EC,2021-10-22 21:51:13
168,Bose,45.4612,8.0137,54.82,79,0,5.44,IT,2021-10-22 21:51:13
169,Ribeira Grande,38.5167,-28.7,69.39,81,77,6.53,PT,2021-10-22 21:51:13
170,Newtownards,54.5924,-5.6909,50.52,88,90,3.0,GB,2021-10-22 21:51:14
171,Disna,55.568,28.1971,42.94,82,100,18.39,BY,2021-10-22 21:51:14
172,Rocha,-34.4833,-54.3333,59.04,85,79,4.29,UY,2021-10-22 21:51:14
173,Omboue,-1.5746,9.2618,76.78,85,100,7.0,GA,2021-10-22 21:51:15
174,Cap Malheureux,-19.9842,57.6142,73.47,81,70,1.99,MU,2021-10-22 21:51:15
175,Kudahuvadhoo,2.6708,72.8944,82.02,71,33,10.29,MV,2021-10-22 21:51:15
176,Mahebourg,-20.4081,57.7,73.26,100,75,3.44,MU,2021-10-22 21:51:16
177,Sorkjosen,69.8,20.9333,24.01,72,100,7.76,NO,2021-10-22 21:51:16
178,Guerrero Negro,27.9769,-114.0611,73.22,63,0,16.91,MX,2021-10-22 21:51:16
179,Shagonar,51.5333,92.8,36.5,57,73,0.92,RU,2021-10-22 21:51:17
180,Luba,3.4568,8.5547,77.68,83,99,2.3,GQ,2021-10-22 21:51:17
181,Avera,33.194,-82.5271,81.28,44,3,8.72,US,2021-10-22 21:51:17
182,Lata,40.1629,-8.3327,58.82,77,0,3.18,PT,2021-10-22 21:51:17
183,Labuhan,-6.8844,112.2051,79.88,78,100,6.06,ID,2021-10-22 21:51:18
184,Lasa,46.6166,10.7002,47.66,91,31,4.63,IT,2021-10-22 21:51:18
185,Oudtshoorn,-33.5907,22.2014,62.96,51,100,9.62,ZA,2021-10-22 21:51:18
186,Changping,40.2186,116.2197,35.24,42,17,3.31,CN,2021-10-22 21:51:19
187,Narasannapeta,18.4167,84.05,76.32,85,92,4.52,IN,2021-10-22 21:51:19
188,Itaobim,-16.5667,-41.8333,72.34,83,67,4.05,BR,2021-10-22 21:51:19
189,Dzerzhinskoye,56.8344,95.2283,40.71,76,100,10.0,RU,2021-10-22 21:51:20
190,Olinda,-8.0089,-34.8553,82.13,74,40,8.05,BR,2021-10-22 21:51:20
191,Sao Joao Da Barra,-21.6403,-41.0511,73.49,75,10,8.37,BR,2021-10-22 21:51:20
192,Saint George,37.1041,-113.5841,82.63,20,1,1.01,US,2021-10-22 21:51:21
193,Kununurra,-15.7667,128.7333,78.78,94,4,5.75,AU,2021-10-22 21:51:21
194,Huarmey,-10.0681,-78.1522,67.19,78,17,10.89,PE,2021-10-22 21:51:21
195,Nokaneng,-19.6667,22.2667,77.67,46,35,5.28,BW,2021-10-22 21:51:22
196,Beringovskiy,63.05,179.3167,17.69,85,100,15.3,RU,2021-10-22 21:51:22
197,Walvis Bay,-22.9575,14.5053,60.1,88,0,2.3,NA,2021-10-22 21:51:22
198,Tomakomai,42.6369,141.6033,41.16,100,20,5.75,JP,2021-10-22 21:51:23
199,Shu,43.5983,73.7614,38.52,72,25,5.32,KZ,2021-10-22 21:51:23
200,San Cristobal,7.7669,-72.225,80.78,71,12,3.58,VE,2021-10-22 21:46:44
201,Kruisfontein,-34.0033,24.7314,58.89,85,98,4.85,ZA,2021-10-22 21:51:23
202,Matara,5.9485,80.5353,77.63,80,31,5.41,LK,2021-10-22 21:51:24
203,Yangambi,0.8102,24.4336,68.16,91,95,2.13,CD,2021-10-22 21:51:24
204,Yatou,37.15,122.3833,48.0,67,8,5.3,CN,2021-10-22 21:51:25
205,Mao,39.8885,4.2658,64.96,68,20,17.27,ES,2021-10-22 21:51:15
206,Elliot Lake,46.3834,-82.6331,42.89,66,97,5.64,CA,2021-10-22 21:51:25
207,Tabou,4.423,-7.3528,76.73,90,100,6.71,CI,2021-10-22 21:51:25
208,Medea,36.2642,2.7539,54.05,91,30,1.03,DZ,2021-10-22 21:51:26
209,Shubarshi,48.5872,57.1869,48.76,71,97,14.2,KZ,2021-10-22 21:51:26
210,Saint-Philippe,-21.3585,55.7679,72.99,80,12,8.39,RE,2021-10-22 21:51:26
211,High Level,58.5169,-117.136,42.91,61,75,12.66,CA,2021-10-22 21:51:27
212,Benguela,-12.5763,13.4055,74.26,74,14,4.94,AO,2021-10-22 21:51:27
213,Bethel,41.3712,-73.414,66.29,68,90,4.61,US,2021-10-22 21:51:27
214,Zhangjiakou,40.81,114.8794,38.39,43,0,1.59,CN,2021-10-22 21:51:28
215,Boende,-0.2167,20.8667,69.12,89,81,1.34,CD,2021-10-22 21:51:28
216,Broken Hill,-31.95,141.4333,60.51,63,22,19.57,AU,2021-10-22 21:47:29
217,Kuala Lipis,4.1842,102.0468,72.14,99,99,0.92,MY,2021-10-22 21:51:28
218,Biryusinsk,55.9634,97.8235,42.03,79,75,10.85,RU,2021-10-22 21:51:29
219,Krasnyy Oktyabr,56.1167,38.8833,42.3,72,37,11.92,RU,2021-10-22 21:51:29
220,Puerto Madryn,-42.7692,-65.0385,61.11,28,1,23.51,AR,2021-10-22 21:51:29
221,Russell,32.3502,-85.1999,81.68,46,1,12.66,US,2021-10-22 21:51:30
222,Hirara,24.8,125.2833,73.67,56,75,13.8,JP,2021-10-22 21:51:30
223,Lompoc,34.6391,-120.4579,78.08,66,75,10.36,US,2021-10-22 21:51:30
224,Egvekinot,66.3167,-179.1667,11.59,85,100,6.58,RU,2021-10-22 21:51:31
225,Praia Da Vitoria,38.7333,-27.0667,71.85,78,20,5.73,PT,2021-10-22 21:51:31
226,Geraldton,-28.7667,114.6,50.41,93,0,6.91,AU,2021-10-22 21:51:31
